"Carimbo de data/hora","Qual é a sua geração/faixa etária?","Qual é o seu gênero?","Qual é o seu grau de instrução?","Qual a sua faixa de renda?","Em qual Estado/Município você reside?","De que forma os programas de formação e os planos de carreira estruturados por uma empresa impactam a percepção de estabilidade e a satisfação profissional de seus colaboradores?","Você observou que o uso de plataformas digitais e o trabalho remoto aumentaram suas responsabilidades ou dificuldades? Descreva como isso influenciou sua rotina","Durante e após a pandemia, como o trabalho remoto e as adaptações digitais afetaram seu equilíbrio entre vida pessoal e profissional? ","Como o aumento da cobrança por resultados no trabalho remoto afetou sua saúde, rotina e relações com a equipe?","Como a falta de autonomia ou o excesso de controle no trabalho remoto impactam sua produtividade e saúde mental?","Como o monitoramento digital da sua empresa tem aumentado seu estresse ou afetado sua privacidade?","Como a pressão por adaptação a novas tecnologias tem afetado seu trabalho?","Como as desigualdades por gênero e/ou renda somadas a falta de garantias trabalhistas, como em alguns casos licença saúde, afetam sua saúde mental e condições de trabalho?"
"2025/06/09 3:04:58 PM GMT-3","Geração Y (millennials) - De 27 a 40 anos","Masculino","Pós-graduação incompleta","De 2 a 4 salários mínimos","São Paulo/Carapicuíba","Ao meu ver é uma forma de nos preparar um pouco para poder acompanhar a cobrança que eles mesmos impõem","Com todas essas tecnologias eu percebi que o meu tempo diminuiu e logo estava trabalhando 24/7","Minha vida pessoal perdeu muito espaço para a vida profissional","Meu stress chegou num ponto onde eu não suportava mais ouvir as notificações do celular pois já sabia que era sobre alguma bomba no serviço","Eles nos tratam como se fossemos crianças, não temos um minuto de paz e ainda querem rendimentos sempre acima dos anteriores.","Tem me incomodado muito. Principalmente o fato de ter que pedir permissão para tudo, até para ir ao banheiro. ","Tenho medo de ser substituído se eu não me adaptar em tempos curtíssimos.","Todos nós recebíamos o mesmo salário e tínhamos os mesmos direitos."
"2025/06/15 1:40:12 PM GMT-3","Geração Y (millennials) - De 27 a 40 anos","Masculino","Graduação completa","Prefiro não informar","Rio de janeiro","Os programas e planos fornecidos pelas empresas demonstram uma preocupação com a capacitação do funcionario, além de prover meios de crescimento e desenvolvimento. Isso pode estimular os funcionários ","Nao acredito que tenha dificultado, talvez diria que facilitou. Porém digo isso baseado no contexto de atividades e de trabalho de TI","Acredito que a pandemia acelerou o processo de adoção de home office nas empresas. O lado bom é que os funcionários nao gastam mais tanto tempo em deslocamento, porém as vezes acabamos trabalhando mais do que deveríamos por conta da falta de percepção de distinção de local de trabalho e casa.","Não senti aumento de cobrança por conta do trabalho remoto","Não enfrentei problemas de falta de autonomia ou microgerenciamento por parte da chefia","Não vejo uma política clara de monitoramento digital onde trabalho, nao me sinto pressionado","Não sinto grandes impactos, mas tenho consciência da importância de manter-se atualizado","Não tenho opinião sobre"
"2025/06/15 2:29:08 PM GMT-3","Geração Y (millennials) - De 27 a 40 anos","Masculino","Pós-graduação incompleta","De 4 a 6 salários mínimos","São Paulo/SP","Programas de formação e planos de carreira estruturados impactam positivamente a percepção de estabilidade e a satisfação profissional dos colaboradores, pois demonstram o comprometimento da empresa com o desenvolvimento e crescimento interno. Ao oferecer oportunidades claras de ascensão e capacitação contínua, a organização transmite segurança, reduz a incerteza e fortalece o senso de pertencimento. Além disso, esses investimentos aumentam o engajamento, o sentimento de valorização e o reconhecimento, contribuindo para a retenção de talentos e para a construção de um ambiente de trabalho mais produtivo e satisfatório.","Sim, o uso de plataformas digitais e o trabalho remoto aumentaram minhas responsabilidades, exigindo mais organização, disciplina e agilidade para lidar com múltiplas demandas ao mesmo tempo. Além disso, surgiram desafios relacionados à adaptação a novas ferramentas, à gestão do tempo e ao equilíbrio entre vida pessoal e profissional, o que tornou minha rotina mais intensa, porém também mais flexível e dinâmica.","Durante e após a pandemia, o trabalho remoto e as adaptações digitais afetaram meu equilíbrio entre vida pessoal e profissional, tornando mais difícil estabelecer limites claros entre os dois, já que as atividades se misturaram no mesmo ambiente. Apesar dos benefícios da flexibilidade, surgiram desafios como a sobrecarga de tarefas e a dificuldade em desconectar do trabalho, exigindo mais disciplina para organizar a rotina e preservar momentos de descanso.","O aumento da cobrança por resultados no trabalho remoto afetou minha saúde e rotina, gerando mais estresse, ansiedade e sobrecarga, devido à pressão constante por produtividade e entregas rápidas. Isso também impactou as relações com a equipe, tornando a comunicação mais impessoal e, muitas vezes, dificultando o trabalho colaborativo, o que exigiu mais empenho para manter o engajamento, a organização e o equilíbrio emocional no dia a dia.","A falta de autonomia ou o excesso de controle no trabalho remoto impactam negativamente minha produtividade e saúde mental, gerando sensação de desconfiança, estresse e desmotivação. Esse controle excessivo limita a liberdade para organizar as tarefas de acordo com meu ritmo, aumenta a pressão e dificulta a concentração, o que, além de reduzir a eficiência, também provoca desgaste emocional e sensação de esgotamento.","O monitoramento digital da empresa tem aumentado meu estresse, pois gera a sensação constante de vigilância e pressão por desempenho, além de afetar minha privacidade ao reduzir a liberdade e a autonomia durante a jornada de trabalho. Essa prática interfere no conforto e na confiança, causando desconforto psicológico e dificultando a concentração, o que impacta diretamente meu bem-estar e minha produtividade.","A pressão por adaptação a novas tecnologias tem afetado meu trabalho ao exigir uma constante atualização e aprendizado, o que, embora traga desenvolvimento profissional, também gera ansiedade, insegurança e sobrecarga. A necessidade de se adequar rapidamente a novas ferramentas e processos, muitas vezes sem o devido suporte, impacta a rotina, aumenta o estresse e pode comprometer a produtividade, principalmente quando as mudanças são frequentes e pouco planejadas.","As desigualdades por gênero e/ou renda, somadas à falta de garantias trabalhistas, como licença saúde, afetam diretamente minha saúde mental e condições de trabalho, pois geram insegurança, sobrecarga e sensação de desvalorização. A falta de proteção social agrava o estresse, especialmente em situações de adoecimento ou necessidades pessoais, além de intensificar as desigualdades, já que pessoas em condições mais vulneráveis acabam acumulando mais responsabilidades, menos reconhecimento e maiores dificuldades para conciliar trabalho, saúde e vida pessoal, comprometendo tanto o bem-estar quanto o desempenho profissional."
"2025/06/16 12:57:02 AM GMT-3","Geração Y (millennials) - De 27 a 40 anos","Masculino","Graduação completa","De 4 a 6 salários mínimos","São Paulo/SP","No meu caso, não houve um plano de carreira complexo. O fato de confiarem em mim, me darem tempo pra estudar e oferecerem cursos já passou uma sensação de apoio. Mesmo sem algo estruturado, isso me deu motivação e segurança pra seguir evoluindo e aplicando o que aprendi.","Sim, aumentaram um pouco as responsabilidades, principalmente em organização e comunicação. No remoto, ficou mais difícil puxar conversas naturais do dia a dia e separar bem trabalho e vida pessoal. Com o tempo me adaptei, mas ainda é preciso criar ""desculpas"" para sair de casa pra manter o equilíbrio mental.","Na pandemia foi mais díficil, mas hoje consigo manter bem esse equilíbrio. Com o tempo, aprendi a organizar melhor meu dia e alternar entre o pessoal e o trabalho com mais facilidade, sem que um atrapalhe o outro.","No trabalho remoto, mantenho boa relação com a equipe e liberdade, mas quase sempre sinto que não estou fazendo o suficiente, algo que não acontece no presencial.","Como tenho autonomia, consigo trabalhar melhor e sem tanta pressão, o que ajuda minha produtividade e saúde mental. Mas se tivesse excesso de controle, com certeza ficaria mais estressado e menos focado.","A empresa não tem monitoramento digital durante o trabalho remoto","Não afetam tanto. Sim, novas tecnologias exigem aprendizado, mas elas só valem a pena se realmente facilitarem o trabalho e se fizerem sentido para o modelo de negócio da empresa.","Não enfrento e nem vejo casos assim no meu ambiente de trabalho, então esses fatores não têm impacto na minha saúde mental ou nas minhas condições de trabalho."
"2025/06/16 3:08:47 PM GMT-3","Geração X - De 41 a 56 anos","Masculino","Pós-graduação completa","Acima de 10 salários mínimos","RJ","Programas de formação e planos de carreira estruturados fortalecem o senso de pertencimento e valorização profissional. Ao participar de formações como oficinas de requisitos e maratonas de dados, percebo um estímulo contínuo ao desenvolvimento técnico e à inovação, que refletem diretamente em minha motivação e sensação de estabilidade dentro da organização.","Sim. O trabalho remoto ampliou a autonomia, mas também aumentou o volume de responsabilidades — especialmente em iniciativas de projetos inovadoras em que participo ativamente, que exigem alto nível de coordenação técnica, análise de dados e comunicação assíncrona. A gestão de tempo se tornou mais desafiadora, exigindo disciplina para equilibrar reuniões, entregas e estudo contínuo.","O trabalho remoto trouxe um ganho significativo de qualidade de vida. A flexibilidade no modelo híbrido me permite estar mais presente em casa em parte dos dias da semana, o que é um privilégio. Além de fortalecer ainda mais meu vínculo com minha esposa, consigo acompanhar de perto meu filho. Levo-o à escola, cursos, aulas de teatro, inglês, natação e vôlei — e, acima de tudo, estou mais presente como pai. Essa convivência diária, mesmo que parcial, tem sido uma oportunidade valiosa para educá-lo, trocar experiências e fortalecer nossos laços de amor, carinho, amizade e paternidade. O modelo remoto não só preservou como aprofundou o equilíbrio entre minha vida pessoal e profissional.","A cobrança por entregas e a exigência de performance constante aumentaram. Embora a produtividade tenha crescido, isso gerou desgaste mental e necessidade de desenvolver estratégias para evitar burnout. Relações com a equipe exigiram mais empatia e comunicação transparente para lidar com pressões e prazos.","Como trabalho em projetos que demandam alta responsabilidade e entregas estratégicas, ter autonomia é essencial. O excesso de controle e microgerenciamento tende a gerar frustração e reduzir o engajamento. Em ambientes onde confiam na minha capacidade de entrega, a produtividade cresce naturalmente.","Felizmente, ainda que exista o uso de sistemas de acompanhamento e métricas, o foco tem sido mais em entregas do que em vigilância direta. Isso evita impactos maiores na privacidade, mas o simples conhecimento de que estamos sempre “visíveis” digitalmente já aumenta o nível de pressão.","Como alguém que atua diretamente com tecnologias emergentes como Machine Learning, APIs e SQL avançado em contexto de inovação regulatória, a adaptação é constante. Ainda que isso seja estimulante e faça parte do meu perfil, a velocidade das mudanças exige atualização contínua e pode gerar sobrecarga.","No meu caso específico, trabalho em uma empresa que oferece boas garantias. No entanto, observo que colegas em situações mais vulneráveis, especialmente terceirizados ou contratados por projetos, sofrem com instabilidade e falta de suporte. Isso acentua desigualdades e pode afetar o clima geral da equipe e a saúde coletiva no ambiente de trabalho."
"2025/06/17 6:48:07 PM GMT-3","Geração Z - De 12 a 26 anos","Masculino","Graduação completa","Prefiro não informar","São Paulo","Programas de formação e planos de carreira fornecem uma segurança maior para a empresa e para o profissional, pois esse tem uma perspectiva de almejar um cargo maior na empresa ao mesmo tempo que a empresa consegue reter bons talentos. Vejo com bons olhos a disponibilização desses programas.","A aumento de responsabilidade quase sempre é seguido de maior complexidade. Já minha rotina foi afetada positivamente, pois há uma maior disponibilidade de tempo e facilidade para acessar produtos que antes não eram acessíveis","Foi uma mudança positiva no equilíbrio, pois ao mesmo tempo que a adaptação aos meios digitais foram requeridas, um maior tempo para se dedicar a família e atividades pessoais foi adquirido ","A rotina teve que ser adaptada para o horário ao qual devo me dedicar ao trabalho remoto. Já as relações com a equipe é parcialmente prejudicada pelo falto de contato direto entre os profissionais. Contudo, o efeito foi positivo, pois há mais autonomia e disposição para cuidar da saúde.","Inexiste um controle ríspido sobre todo o trabalho remoto, sendo esse mais controlado e medido por nível de trabalho entregue. Mas, ainda assim existe uma certa pressão de prazo e responsabilidades;","O monitoramento digital se da através dos dispositivos e serviços disponibilizados pela empresa. Então não há efeito prático dentro da privacidade na vida pessoal.","Positivamente. Como profissional da área de tecnologia é essencial se manter atualizado com as mais novas e eficientes tecnologias.","Na atual empresa onde possuo contrato, há uma política rígida de igualdade salarial, sendo decidida por cargo e competências do colaborador."
"2025/06/25 4:57:21 AM GMT-3","Geração X - De 41 a 56 anos","Masculino","Pós-graduação completa","Prefiro não informar","SP/CARAPICUIBA","A motivação acredito que seja indivual de cada pessoa, ou seja, alguns tem grande vontande em apreender e com isso se tem alguma oportunidade e da prazer no que esta fazendo consegue criar sua propria carreira. ","Vejo que depende da area e de cada empresa. As empresas que criaram metodologia de controles e ferramentas para guiar o profissional nao tem dificuldade","Nao. Pois sempre fez parte do meu dia a dia essa formande trabalhar remotamente ","A cobrança sempre é grande, pois o contato em relacao aos demais sao invisiveis. Para nao abalar a saude precisa estar sempre separando o que é profissional do particular ","Nenhuma ","Como trabalho em um ambiente totalmente controlado separamos muito bem a privacidade do que é trabalho","Na verdade vejo como uma evolução. Senpre fico atento a essas mudancas ","Não vejo isso um problema. Desigualdade existem a toda vida, porem o ser humano tem oportunidade de ir melhorando isso. Alguns tem vontades de identificar e modificar essas desigualdades, porem outros não consegue. "
"2025/07/06 4:13:48 PM GMT-3","Geração Baby Boomers - Acima de 57 anos","Masculino","Graduação incompleta","Acima de 10 salários mínimos","SP/ São Paulo ","No meu caso muito pouco.","Aumenta meu tempo de trabalho e minhas responsabilidades. ","Durante a pandemia trabalhava em uma empresa 100% presencial. ","Aumento minha qualidade de vida,  tenho mais tempo para estudar e não perco tempo no deslocamento.","Nem sempre recebo um feedback a respeito da execução das minhas tarefas muitas vezes tenho que retrabalhar as minhas tarefas já executadas pois as informações mais importantes nao me foram informadas.","Indiferente","A IA tem mudado em muito a forma de trabalho acelerando o processo de produção de scripts e melhorando a revisão e a qualidade do serviço já executado.","No meu caso nao tem afetado. "
"2025/07/26 8:27:58 PM GMT-3","Geração Y (millennials) - De 27 a 40 anos","Masculino","Graduação incompleta","Prefiro não informar","SP/São Paulo","Não sei responder","Não, eu fazia as mesmas atividades que continuei fazendo, com aúnica diferença de estar em casa.","Prejudicaram, pois muitas vezes fui chamado para atender questões do trabalho fora do meu horário de expediente, algo que não ocorria antes da pandemia.","Aumentou o meu estresse e a dificuldade de dormir. Quanto as relações com a equipe, isso fez com que a gente se isolasse mais porque costumávamos sair para comer juntos quando estávamos presencialmente e conversar mais","Aumentando o estresse e a ansiedade","O monitoramento em si não é tão grande e não me importa tanto. O pior é ter que trabalhar além do horário, receber mensagem de cobrança o tempo todo e ter de assumir problemas que outras pessoas causaram.","Em nada. Para um profissional de TI isso é normal.","Não sei responder"
"2025/07/27 12:00:40 AM GMT-3","Geração X - De 41 a 56 anos","Masculino","Pós-graduação incompleta","Acima de 10 salários mínimos","SP/Rafard","*","Sim","Não ","Sim","Não ","Não ","Não ","*"
